sl.no,smiles_format,xyz_file,energy
15,[C]1[CH][C]2[CH][C]12,c8h9_aggregates_ag_a_005_b_002_000_selected_result_007_002_ag_a_005_b_002.xyz,-191.174343
20,C12C34C5C13C254,c5h2_aggregates_ag_a_005_b_002_000_selected_result_010_001_ag_a_005_b_002.xyz,-191.154565
23,[C]#CC#C[CH2],c9h4_aggregates_ag_a_005_b_002_007_selected_result_009_001_ag_a_005_b_002.xyz,-191.235069
25,[C]=C1[C]2[CH][C@@H]21,c9h3_aggregates_ag_a_005_b_002_006_selected_result_006_000_ag_a_005_b_002.xyz,-191.151978
32,[C]1[C]2[C]3C[C@]123,c10h10_aggregates_ag_a_005_b_002_001_selected_result_019_002_ag_a_005_b_002.xyz,-191.132147
52,[C]1[C@@H]2[C]3[CH][C@]132,c5h2_aggregates_ag_a_005_b_002_000_selected_result_028_001_ag_a_005_b_002.xyz,-191.143055
54,[C]1[C]2[CH][CH][C]12,c6h2_aggregates_ag_a_005_b_002_004_selected_result_021_001_ag_a_005_b_002.xyz, -191.163210
61,[C]1[C]2C=C[C]12,c10h4_aggregates_ag_a_005_b_002_007_selected_result_012_002_ag_a_005_b_002.xyz,-191.163208
62,[C]C#CC=[CH],c10h2_aggregates_ag_a_005_b_002_009_selected_result_026_005_ag_a_005_b_002.xyz,-191.133356
76,[C]1[C@]23[C][C@]12C3,c7h3_aggregates_ag_a_005_b_002_008_selected_result_002_002_ag_a_005_b_002.xyz,-191.071443
92,[C]1[C@H]2[C]3[CH][C@@]132,c6h2_aggregates_ag_a_005_b_002_005_selected_result_009_001_ag_a_005_b_002.xyz,-191.143051
94,[C]=C1[C]2[CH][C@H]21,c10h3_aggregates_ag_a_005_b_002_000_selected_result_016_000_ag_a_005_b_002.xyz,-191.151981
105,C=C=C1[C][C]1,c5h2_aggregates_ag_a_005_b_002_005_selected_result_015_000_ag_a_005_b_002.xyz,-191.197070
121,[C]#CC1=C[CH]1,c10h2_aggregates_ag_a_005_b_002_009_selected_result_016_000_ag_a_005_b_002.xyz,-191.223227
