sl.no,smiles_format,xyz_file,energy,Formula,Mol_wt
170,[CH]CCC,c5h8_aggregates_ag_a_004_b_008_007_selected_result_031_000_ag_a_004_b_008.xyz,-156.991723,C4H8,56.135999999999996
168,C/C=C\C,c4h8_aggregates_ag_a_004_b_008_001_selected_result_006_000_ag_a_004_b_008.xyz,-156.99546,C4H8,56.135999999999996
167,CC1CC1,c4h8_aggregates_ag_a_004_b_008_007_selected_result_021_000_ag_a_004_b_008.xyz,-156.983439,C4H8,56.135999999999996
169,[CH]C(C)C,c6h8_aggregates_ag_a_004_b_008_004_selected_result_006_001_ag_a_004_b_008.xyz,-156.997297,C4H8,56.135999999999996
165,C1CCC1,c4h10_aggregates_ag_a_004_b_008_007_selected_result_013_000_ag_a_004_b_008.xyz,-156.98307,C4H8,56.135999999999996
164,C=CCC,c5h9_aggregates_ag_a_004_b_008_007_selected_result_023_000_ag_a_004_b_008.xyz,-156.99171,C4H8,56.135999999999996
163,C=C(C)C,c5h9_aggregates_ag_a_004_b_008_009_selected_result_014_001_ag_a_004_b_008.xyz,-156.997305,C4H8,56.135999999999996
166,C/C=C/C,c8h9_aggregates_ag_a_004_b_008_003_selected_result_024_000_ag_a_004_b_008.xyz,-156.997276,C4H8,56.135999999999996
171,C[C](C)C,c7h10_aggregates_ag_a_004_b_009_005_selected_result_023_002_ag_a_004_b_009.xyz,-157.551641,C4H9,57.143
172,[CH2]CCC,c5h10_aggregates_ag_a_004_b_009_004_selected_result_030_000_ag_a_004_b_009.xyz,-157.551641,C4H9,57.143
173,C[CH]CC,c6h10_aggregates_ag_a_004_b_009_006_selected_result_015_000_ag_a_004_b_009.xyz,-157.558422,C4H9,57.143
174,[CH2]C(C)C,c7h10_aggregates_ag_a_004_b_009_002_selected_result_024_001_ag_a_004_b_009.xyz,-157.551766,C4H9,57.143
175,CCCC,c4h10_aggregates_ag_a_004_b_010_006_selected_result_020_000_ag_a_004_b_010.xyz,-158.219509,C4H10,58.15
176,CC(C)C,c4h10_aggregates_ag_a_004_b_010_001_selected_result_020_000_ag_a_004_b_010.xyz,-158.220126,C4H10,58.15
184,[C]1[C]2[C]3[CH][C@@]123,c6h1_aggregates_ag_a_005_b_001_004_selected_result_015_000_ag_a_005_b_001.xyz,-190.500264,C5H,61.10699999999999
187,[C]1[C]2[C@@H]3[C][C@]123,c8h2_aggregates_ag_a_005_b_001_005_selected_result_015_001_ag_a_005_b_001.xyz,-190.475151,C5H,61.10699999999999
188,[C]1[C]2[C@H]3[C][C@@]123,c9h3_aggregates_ag_a_005_b_001_005_selected_result_009_001_ag_a_005_b_001.xyz,-190.475151,C5H,61.10699999999999
186,[C]C#CC=[C],c5h1_aggregates_ag_a_005_b_001_002_selected_result_023_001_ag_a_005_b_001.xyz,-190.59504,C5H,61.10699999999999
